clade_name	clade_taxid	Strobel-6033-3_S254_L001_R1_001.fastq_profiled_metagenome	Strobel-6022-1_S253_L001_R1_001.fastq_profiled_metagenome	Strobel-4019-1_S115_L004_R1_001.fastq_profiled_metagenome	Strobel-3043-16_S118_L004_R1_001.fastq_profiled_metagenome	Strobel-3016-1_S117_L004_R1_001.fastq_profiled_metagenome	Strobel-3008-1_S116_L004_R1_001.fastq_profiled_metagenome	Strobel-3005-1_S255_L001_R1_001.fastq_profiled_metagenome	KC37_S18_L004_R1_001.fastq_profiled_metagenome	KC36_S17_L004_R1_001.fastq_profiled_metagenome	KC35_S16_L004_R1_001.fastq_profiled_metagenome	KC34_S15_L004_R1_001.fastq_profiled_metagenome	KC33_S14_L004_R1_001.fastq_profiled_metagenome	KC32_S13_L004_R1_001.fastq_profiled_metagenome	KC31_S12_L004_R1_001.fastq_profiled_metagenome	KC30_S11_L004_R1_001.fastq_profiled_metagenome	KC29_S10_L004_R1_001.fastq_profiled_metagenome	KC28_S9_L004_R1_001.fastq_profiled_metagenome	KC27_S8_L004_R1_001.fastq_profiled_metagenome	KC26_S7_L004_R1_001.fastq_profiled_metagenome	KC25_S6_L004_R1_001.fastq_profiled_metagenome	KC24_S5_L004_R1_001.fastq_profiled_metagenome	KC23_S4_L004_R1_001.fastq_profiled_metagenome	KC22_S3_L004_R1_001.fastq_profiled_metagenome	KC21_S2_L004_R1_001.fastq_profiled_metagenome	KC20_S1_L004_R1_001.fastq_profiled_metagenome	KC1_S25_L004_R1_001.fastq_profiled_metagenome	KC19_S84_L004_R1_001.fastq_profiled_metagenome	KC18_S83_L004_R1_001.fastq_profiled_metagenome	KC17_S82_L004_R1_001.fastq_profiled_metagenome	KC16_S81_L004_R1_001.fastq_profiled_metagenome	KC15_S80_L004_R1_001.fastq_profiled_metagenome	KC14_S79_L004_R1_001.fastq_profiled_metagenome	KC13_S78_L004_R1_001.fastq_profiled_metagenome	KC12_S77_L004_R1_001.fastq_profiled_metagenome	KC11_S76_L004_R1_001.fastq_profiled_metagenome	KC10_S75_L004_R1_001.fastq_profiled_metagenome	KC09_S74_L004_R1_001.fastq_profiled_metagenome	KC08_S73_L004_R1_001.fastq_profiled_metagenome	KC07_S72_L004_R1_001.fastq_profiled_metagenome	KC06_S71_L004_R1_001.fastq_profiled_metagenome	KC05_S70_L004_R1_001.fastq_profiled_metagenome	KC04_S69_L004_R1_001.fastq_profiled_metagenome	KC03_S68_L004_R1_001.fastq_profiled_metagenome	KC02_S67_L004_R1_001.fastq_profiled_metagenome	6034-7_S172_L002_R1_001.fastq_profiled_metagenome	6034-5_S171_L002_R1_001.fastq_profiled_metagenome	6034-4_S170_L002_R1_001.fastq_profiled_metagenome	6034-3_S169_L002_R1_001.fastq_profiled_metagenome	6034-1_S168_L002_R1_001.fastq_profiled_metagenome	6033-7_S167_L002_R1_001.fastq_profiled_metagenome	6033-5_S166_L002_R1_001.fastq_profiled_metagenome	6033-4_S165_L002_R1_001.fastq_profiled_metagenome	6033-1_S163_L002_R1_001.fastq_profiled_metagenome	6032-4_S162_L002_R1_001.fastq_profiled_metagenome	6032-3_S161_L002_R1_001.fastq_profiled_metagenome	6032-2_S160_L002_R1_001.fastq_profiled_metagenome	6023-6_S159_L002_R1_001.fastq_profiled_metagenome	6023-5_S158_L002_R1_001.fastq_profiled_metagenome	6023-4_S157_L002_R1_001.fastq_profiled_metagenome	6023-3_S156_L002_R1_001.fastq_profiled_metagenome	6023-1_S155_L002_R1_001.fastq_profiled_metagenome	6022-3_S154_L002_R1_001.fastq_profiled_metagenome	6022-2_S153_L002_R1_001.fastq_profiled_metagenome	6021-4_S151_L002_R1_001.fastq_profiled_metagenome	6021-3_S150_L002_R1_001.fastq_profiled_metagenome	6021-2_S149_L002_R1_001.fastq_profiled_metagenome	4019-3_S148_L002_R1_001.fastq_profiled_metagenome	4019-2_S147_L002_R1_001.fastq_profiled_metagenome	3044-2_S195_L002_R1_001.fastq_profiled_metagenome	3043-8_S194_L002_R1_001.fastq_profiled_metagenome	3043-5_S193_L002_R1_001.fastq_profiled_metagenome	3043-4_S192_L002_R1_001.fastq_profiled_metagenome	3043-14_S190_L002_R1_001.fastq_profiled_metagenome	3043-12_S189_L002_R1_001.fastq_profiled_metagenome	3043-10_S188_L002_R1_001.fastq_profiled_metagenome	3042-7_S197_L002_R1_001.fastq_profiled_metagenome	3042-6_S187_L002_R1_001.fastq_profiled_metagenome	3042-15_S186_L002_R1_001.fastq_profiled_metagenome	3042-12_S199_L002_R1_001.fastq_profiled_metagenome	3042-11_S198_L002_R1_001.fastq_profiled_metagenome	3041-1_S185_L002_R1_001.fastq_profiled_metagenome	3016-2_S184_L002_R1_001.fastq_profiled_metagenome	3015-3_S182_L002_R1_001.fastq_profiled_metagenome	3015-2_S181_L002_R1_001.fastq_profiled_metagenome	3015-1_S178_L002_R1_001.fastq_profiled_metagenome	3014-2_S180_L002_R1_001.fastq_profiled_metagenome	3014-1_S179_L002_R1_001.fastq_profiled_metagenome	3010-1_S177_L002_R1_001.fastq_profiled_metagenome	3002-2_S174_L002_R1_001.fastq_profiled_metagenome	3002-0_S173_L002_R1_001.fastq_profiled_metagenome	1000-R-_S144_L002_R1_001.fastq_profiled_metagenome	1-505-1_S145_L002_R1_001.fastq_profiled_metagenome
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus	2|976|200643|171549|815|909656|821	0	0	0	0	0	0	4649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1669236	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814	2|976|200643|171549|815|909656|821|	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0	0	0	0	0	0	0	0	0	0	40	2197	0	0	0	0	0	0	0	0	0	4396	0	0	0	4651	3051	1145	329	0	1562	0	636	125	967	892	0	246	282	636	945	491	2330	846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	2|976|200643|171549|2005519|397864	0	0	0	0	0	0	0	0	0	0	40	2197	0	0	0	0	0	0	0	0	0	4396	0	0	0	4651	3051	1145	329	0	1562	0	636	125	967	892	0	246	282	636	945	491	2330	846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp_CU968	2|976|200643|171549|2005519|397864|2780099	0	0	0	0	0	0	0	0	0	0	40	2197	0	0	0	0	0	0	0	0	0	4396	0	0	0	4651	3051	1145	329	0	1562	0	636	125	967	892	0	246	282	636	945	491	2330	846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_sp_CU968|t__SGB27763	2|976|200643|171549|2005519|397864|2780099|	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	-	-	-	-	0	-	0	-	-	-	-	0	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis	2|976|200643|171549|171552|838|28127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis|t__SGB1517	2|976|200643|171549|171552|838|28127|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4146727	0	0	412161	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	2|976|200643|171549|2005525|375288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4146727	0	0	412161	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii	2|976|200643|171549|2005525|375288|328812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60329	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii|t__SGB1941	2|976|200643|171549|2005525|375288|328812|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae	2|976|200643|171549|2005525|375288|46503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4086398	0	0	412161	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__SGB1949	2|976|200643|171549|2005525|375288|46503|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	-	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791	2|976|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791	2|976||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB1791|o__OFGB1791|f__FGB1791	2|976|||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB9382|o__OFGB9382|f__FGB9382|g__GGB27878	2|976||||	0	0	0	0	0	0	0	0	0	0	36	1599	0	0	0	0	0	0	0	0	0	7552	0	0	0	1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB9382|o__OFGB9382|f__FGB9382|g__GGB27878|s__GGB27878_SGB40312	2|976|||||	0	0	0	0	0	0	0	0	0	0	36	1599	0	0	0	0	0	0	0	0	0	7552	0	0	0	1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__CFGB9382|o__OFGB9382|f__FGB9382|g__GGB27878|s__GGB27878_SGB40312|t__SGB40312	2|976||||||	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	2|1239	1612328	390682	1925	54511125	0	371	105888	1312155	0	48928841	6889552	51604	15025585	0	12775522	0	1716225	3373012	4518891	18807366	12208	1616	4170045	0	703852	39231	23853711	3242947	810688	0	65833974	11009710	1365649	16211181	47444886	21811424	11464367	5114546	4362571	2270585	11159129	3578958	306390	753862	6700958	36246	319334	8704398	0	5537015	4549225	5946709	2402860	10032027	7163442	15446907	13663363	11950617	3160868	1599167	5698	19611523	39604	13123516	7255172	1725351	4062176	4421253	0	1083579	2129303	4675504	49470	101195	1554172	0	0	4649579	8987311	6138544	602424	2325718	1060758	151676	5225890	661249	0	0	3331078	3518361	507554	0
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1612328	390682	1598	54511125	0	371	104395	30939	0	19113845	3718599	51051	1476847	0	6995526	0	1716225	2839596	4518891	18807366	12208	670	4129904	0	451215	39054	21144348	2916039	11962	0	65468819	10318567	1365649	15900999	47441659	17162297	10381404	565663	4361653	735346	10640908	3485335	283321	39198	6695756	36246	318018	8704398	0	5029983	4281142	5607547	2395221	8337412	3733016	14017956	13076884	9381013	2914675	1542016	5698	14536897	31094	12477217	7112669	1708737	4031812	4421253	0	1083579	2129303	4236520	49470	101195	1553575	0	0	3847619	8987311	6138544	532855	419800	1060758	151676	1850316	38533	0	0	3331078	3516202	440583	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	20693	68986	1598	54511125	0	371	3760	30939	0	1047174	183314	22854	1427002	0	790912	0	1657345	23285	1062142	8154105	0	0	122608	0	249664	16988	145085	142118	1676	0	61234206	9431052	662	13968	9214	1058246	965766	442652	4076924	713744	11620	10464	6399	1126	0	0	16985	8691608	0	311531	131516	164077	39932	70067	148687	9099468	11189	47523	21760	75854	5241	8097283	18463	4318888	901299	1542843	3680970	4321530	0	8153	63134	2093317	7654	14402	12371	0	0	0	8987311	6106121	2474	25978	180078	2095	158082	36550	0	0	287402	1628715	415699	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107192	0	0	0	0	0	5511	3595	3016	847	0	2330	120	628	1004	657	1644	0	1237	2415	788	1133	161	1882	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	2|1239|91061|1385|186817|1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107192	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus	2|1239|91061|1385|186817|1386|1396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus|t__SGB7697	2|1239|91061|1385|186817|1386|1396|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_velezensis	2|1239|91061|1385|186817|1386|492670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_velezensis|t__SGB7785	2|1239|91061|1385|186817|1386|492670|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Weizmannia	2|1239|91061|1385|186817|2817139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5511	3372	3016	847	0	2330	120	628	1004	657	1644	0	1237	2415	788	1133	161	1882	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Weizmannia|s__Weizmannia_coagulans	2|1239|91061|1385|186817|2817139|1398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5511	3372	3016	847	0	2330	120	628	1004	657	1644	0	1237	2415	788	1133	161	1882	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Weizmannia|s__Weizmannia_coagulans|t__SGB7729	2|1239|91061|1385|186817|2817139|1398|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	0	-	-	-	-	-	-	0	-	-	-	-	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	0	0	0	0	0	0	0	0	0	4678	0	0	0	0	9201	0	0	0	1631	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	233	0	0	4517	0	0	2641	0	0	0	0	0	0	0	0	0	0	0	0	123256	0	0	0	220	0	10493	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4133	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	2|1239|91061|1385||1378	0	0	0	0	0	0	0	0	0	4678	0	0	0	0	9201	0	0	0	1631	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	233	0	0	4517	0	0	2641	0	0	0	0	0	0	0	0	0	0	0	0	123256	0	0	0	220	0	10493	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4133	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_SGB47116	2|1239|91061|1385||1378|	0	0	0	0	0	0	0	0	0	4678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_SGB47116|t__SGB47116	2|1239|91061|1385||1378||	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_SGB7284	2|1239|91061|1385||1378|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	2352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_SGB7284|t__SGB7284	2|1239|91061|1385||1378||	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans	2|1239|91061|1385||1378|1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9201	0	0	0	1631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123256	0	0	0	220	0	7974	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4133	0
